Date,All_Causes,Diabetes,Ozone,Temperature
2014-06-27,1232,13,35.704348611111115,15.0
2014-06-28,1224,14,42.52760763888889,14.200000000000001
2014-06-29,1167,15,46.38843972222222,14.166666666666666
2014-06-30,1207,14,43.14785069444445,14.233333333333334
2014-01-07,1214,11,52.89949402777777,15.200000000000003
2014-02-07,1177,11,52.69085861111111,15.200000000000001
2014-03-07,1236,12,47.48884783428844,17.900000000000002
2014-04-07,1237,7,47.28619347222221,16.933333333333334
2014-05-07,1217,16,55.289924722222224,15.566666666666668
2014-06-07,1109,14,50.62552611111111,13.866666666666667
2014-07-07,1239,16,35.11227986111111,15.033333333333333
2014-08-07,1143,15,43.493286250000004,15.733333333333334
2014-09-07,1223,16,42.43823777777777,16.133333333333336
2014-10-07,1200,9,25.70708366425474,16.96666666666667
2014-11-07,1213,19,43.29711694444444,16.700000000000003
2014-12-07,1280,14,51.530102638888884,17.333333333333332
2014-07-13,1215,21,30.70137875,19.433333333333334
2014-07-14,1188,7,39.19482483949809,16.333333333333332
2014-07-15,1191,10,39.61701719484364,17.400000000000002
2014-07-16,1169,9,35.962334429898554,16.333333333333336
2014-07-17,1277,13,43.17307375000001,17.866666666666667
2014-07-18,1320,20,69.66376,20.333333333333332
2014-07-19,1340,14,61.54556694444445,19.433333333333334
2014-07-20,1211,16,53.93767375000001,19.3
2014-07-21,1132,10,47.60289541666666,19.26666666666667
2014-07-22,1260,9,53.591359722222215,19.099999999999998
2014-07-23,1201,15,65.29190694444445,21.133333333333336
2014-07-24,1254,11,69.0446198611111,21.46666666666667
2014-07-25,1223,12,64.60998208333334,20.96666666666667
2014-07-26,1225,10,59.09216555555556,19.933333333333337
2014-07-27,1087,16,46.87227430555555,19.533333333333335
2014-07-28,1173,12,40.30801486111111,17.2
2014-07-29,1206,8,41.416458750000004,18.46666666666667
2014-07-30,1191,12,45.612947937057555,18.266666666666666
2014-07-31,1195,21,43.268837222222224,17.566666666666666
2014-01-08,1195,11,34.595012222222216,17.266666666666666
2014-02-08,1159,13,71.11956555555555,17.900000000000002
2014-03-08,1085,15,50.356741527777785,16.2
2014-04-08,1079,11,63.01897503305499,16.833333333333332
2014-05-08,1214,15,40.39947319444445,15.533333333333331
2014-06-08,1217,21,49.46597361111112,18.766666666666666
2014-07-08,1224,10,38.61885347222222,17.566666666666666
2014-08-08,1166,14,44.50410375000001,16.733333333333334
2014-09-08,1154,13,37.32152402777778,17.433333333333334
2014-10-08,1169,14,33.71134399297213,16.86666666666667
2014-11-08,1167,17,47.50131972222223,15.766666666666667
2014-12-08,1199,16,49.025496388888904,16.233333333333334
2014-08-13,1163,12,45.561901388888884,16.36666666666667
2014-08-14,1158,14,41.959505416666666,16.666666666666668
2014-08-15,1189,15,44.16327958333333,14.733333333333334
2014-08-16,1144,7,53.01940888888888,15.1
2014-08-17,1196,15,54.88839875,15.566666666666668
2014-08-18,1188,11,48.56969361111111,15.266666666666666
2014-08-19,1162,8,41.431631527777775,13.233333333333334
2014-08-20,1220,15,33.04869597222223,13.366666666666667
2014-08-21,1274,18,39.09183708333334,13.366666666666667
2014-08-22,1264,16,42.391223333333336,14.666666666666666
2014-08-23,1257,19,47.03226097222222,13.266666666666666
2014-08-24,1191,11,48.115701805555545,12.700000000000003
2014-08-25,1246,12,43.497044861111114,13.466666666666669
2014-08-26,1288,8,56.823412499999996,15.766666666666667
2014-08-27,1243,12,51.35865013888889,14.066666666666668
2014-08-28,1282,17,36.59788916666667,16.76666666666667
2014-08-29,1276,15,39.48505513888889,16.333333333333332
2014-08-30,1168,14,42.82010097222223,17.0
2014-08-31,1221,7,42.288498749999995,16.46666666666667
2014-01-09,1164,8,43.04428957352106,15.966666666666669
2014-02-09,1285,17,64.54498805555555,14.933333333333335
2014-03-09,1248,11,53.39346750000001,17.0
2014-04-09,1234,28,58.184012075276236,17.599999999999998
2014-05-09,1307,8,57.91735638888889,16.96666666666667
2014-06-09,1224,19,46.718259305555556,17.166666666666668
2014-07-09,1183,14,49.09498741778416,14.366666666666667
2014-08-09,1236,12,53.069604166666664,14.633333333333335
2014-09-09,1223,9,32.99121347222222,13.700000000000001
2014-10-09,1213,16,46.571205416666665,14.666666666666666
2014-11-09,1140,13,28.998584861111112,14.966666666666669
2014-12-09,1166,10,36.96741680555555,14.300000000000002
2014-09-13,1285,18,47.44665055555555,14.933333333333335
2014-09-14,1173,15,53.00865208333334,14.633333333333335
2014-09-15,1225,14,37.83755597222223,15.133333333333335
2014-09-16,1296,9,44.74619611111111,16.233333333333334
2014-09-17,1304,14,49.52651652777777,16.96666666666667
2014-09-18,1290,9,58.84642597222223,17.233333333333334
2014-09-19,1207,9,54.87001000000001,16.533333333333335
2014-09-20,1202,14,52.83025388888888,15.600000000000001
2014-09-21,1095,8,49.98402402777777,12.766666666666667
2014-09-22,1192,15,38.165901527777784,11.866666666666667
2014-09-23,1181,15,36.833762361111106,13.666666666666666
2014-09-24,1222,21,36.76495153980448,14.333333333333334
2014-09-25,1245,10,25.941525555555554,13.966666666666667
2014-09-26,1274,6,34.45796193293651,16.666666666666668
2014-09-27,1196,18,18.520778194444443,13.5
2014-09-28,1285,13,19.333212777777778,14.766666666666667
2014-09-29,1329,22,10.291282916666669,14.966666666666669
2014-09-30,1305,19,27.223668789183733,16.266666666666666
2014-01-10,1254,10,28.887095353423714,16.533333333333335
2014-02-10,1207,13,37.22924911276264,12.6
2014-03-10,1300,15,54.67449638888889,14.866666666666667
2014-04-10,1178,9,56.46240069444445,14.866666666666667
2014-05-10,1149,6,54.692586666666664,10.333333333333334
2014-06-10,1282,25,46.788995416666666,10.366666666666667
2014-07-10,1231,8,47.84128092365918,9.8
2014-08-10,1288,9,47.421003611111104,10.866666666666667
2014-09-10,1326,14,32.63750763888889,12.233333333333334
2014-10-10,1255,18,33.59908680555555,11.766666666666667
